Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Mai, BT; Balakrishnan, PB; Barthel, MJ; Piccardi, F; Niculaes, D; Marinaro, F; Fernandes, S; Curcio, A; Kakwere, H; Autret, G; Cingolani, R; Gazeau, F; Pellegrino, T",,,,"Mai, Binh T.; Balakrishnan, Preethi B.; Barthel, Markus J.; Piccardi, Federica; Niculaes, Dina; Marinaro, Federica; Fernandes, Soraia; Curcio, Alberto; Kakwere, Hamilton; Autret, Gwennhael; Cingolani, Roberto; Gazeau, Florence; Pellegrino, Teresa",,,Thermoresponsive Iron Oxide Nanocubes for an Effective Clinical Translation of Magnetic Hyperthermia and Heat-Mediated Chemotherapy,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"The use of magnetic nanoparticles in oncothermia has been investigated for decades, but an effective combination of magnetic nanoparticles and localized chemotherapy under clinical magnetic hyperthermia (MH) conditions calls for novel platforms. In this study, we have engineered magnetic thermoresponsive iron oxide nanocubes (TR-cubes) to merge MH treatment with heat-mediated drug delivery, having in mind the clinical translation of the nanoplatform. We have chosen iron oxide based nanoparticles with a cubic shape because of their outstanding heat performance under MH clinical conditions, which makes them benchmark agents for MH. Accomplishing a surface-initiated polymerization of strongly interactive nanoparticles such as our iron oxide nanocubes, however, remains the main challenge to overcome. Here, we demonstrate that it is possible to accelerate the growth of a polymer shell on each nanocube by simple irradiation of a copper mediated polymerization with a ultraviolet light (UV) light, which both speeds up the polymerization and prevents nanocube aggregation. Moreover, we demonstrate herein that these TR-cubes can carry chemotherapeutic doxorubicin (DOXO-loaded-TR-cubes) without compromising their thermoresponsiveness both in vitro and in vivo. In vivo efficacy studies showed complete tumor suppression and the highest survival rate for animals that had been treated with DOXO-loaded-TR-cubes, only when they were exposed to MH. The biodistribution of intravenously injected TR-cubes showed signs of renal clearance within 1 week and complete clearance after 5 months. This biomedical platform works under clinical MH conditions and at a low iron dosage, which will enable the translation of dual MH/heat-mediated chemotherapy, thus overcoming the clinical limitation of MH: i.e., being able to monitor tumor progression post-MH-treatment by magnetic resonance imaging (MM).",,,,,"kakwere, hamilton/A-4902-2010; Barthel, Markus J./C-8342-2012; Pellegrino, teresa/G-6417-2010; Da Silva Teixeira Fernandes, Soraia Margarida/AAG-8717-2021","kakwere, hamilton/0000-0002-1934-4992; Barthel, Markus J./0000-0001-7807-6265; Pellegrino, Teresa/0000-0001-5518-1134; Marinaro, Federica/0000-0001-6609-1134; da Silva Teixeira Fernandes, Soraia Margarida/0000-0001-7586-1241; gazeau, florence/0000-0002-6482-3597; Curcio, Alberto/0000-0003-0534-8455; Mai, Binh/0000-0002-3418-0658; , Gwennhael/0000-0001-7335-350X",,,,,,,,,,,,,1944-8244,1944-8252,,,,13-Feb,2019,11,6,,,,,5727,5739,,10.1021/acsami.8b16226,http://dx.doi.org/10.1021/acsami.8b16226,,,,,,,,30624889,,,,,WOS:000459221900020,View Full Record in Web of Science
J,"Li, SH; Liu, R; Jiang, XX; Qu, Y; Song, XR; Huang, GM; Fu, NY; Lin, LS; Song, JB; Chen, XY; Yang, HH",,,,"Li, Shihua; Liu, Rui; Jiang, Xiaoxue; Qu, Yuan; Song, Xiaorong; Huang, Guoming; Fu, Nanyan; Lin, Lisen; Song, Jibin; Chen, Xiaoyuan; Yang, Huanghao",,,Near-Infrared Light-Triggered Sulfur Dioxide Gas Therapy of Cancer,ACS NANO,,,,,,,,,,,,"The exploitation of gas therapy platforms holds great promise as a green approach for selective cancer therapy, however, it is often associated with some challenges, such as uncontrolled or insufficient gas generation and unclear therapeutic mechanisms. In this work, a gas therapy approach based on near infrared (NIR) light-triggered sulfur dioxide (SO2) generation was developed, and the therapeutic mechanism as well as in vivo antitumor therapeutic efficacy was demonstrated. A SO2 prodrug-loaded rattle-structured upconversion@silica nanoparticles (RUCSNs) was constructed to enable high loading capacity without obvious leakage and to convert NIR light into ultraviolet light so as to activate the prodrug for SO2 generation. In addition, SO2 prodrug-loaded RUCSNs showed high cell uptake, good biocompatibility, intracellular tracking ability, and high NIR light-triggered cytotoxicity. Furthermore, the cytotoxic SO2 was found to induce cell apoptosis accompanied by the increase of intracellular reactive oxygen species levels and the damage of nuclear DNA. Moreover, efficient inhibition of tumor growth was achieved, associated with significantly prolonged survival of mice. Such NIR light-triggered SO2 therapy may provide an effective strategy to stimulate further development of synergistic cancer therapy platforms.",,,,,"Yang, Huang-Hao/L-9905-2019; Song, Jibin/AAF-7947-2021; Huang, Guoming/P-4586-2019; Chen, Xiao/GQA-8928-2022; Song, Xiaorong/AAH-9263-2020; Song, Xiao-Rong/H-2147-2016; Chen, Xiaoyuan/D-1860-2014","Huang, Guoming/0000-0002-8075-5205; Chen, Xiao/0000-0002-9797-8384; Song, Xiao-Rong/0000-0001-5484-0978; Chen, Xiaoyuan/0000-0002-9622-0870",,,,,,,,,,,,,1936-0851,1936-086X,,,,FEB,2019,13,2,,,,,2103,2113,,10.1021/acsnano.8b08700,http://dx.doi.org/10.1021/acsnano.8b08700,,,,,,,,30642157,,,,,WOS:000460199400109,View Full Record in Web of Science
J,"Sun, X; Zhang, GL; Du, RH; Xu, R; Zhu, DW; Qian, JC; Bai, G; Yang, C; Zhang, ZY; Zhang, X; Zou, DH; Wu, ZY",,,,"Sun, Xiao; Zhang, Guilong; Du, Ruohong; Xu, Rui; Zhu, Dongwang; Qian, Junchao; Bai, Guo; Yang, Chi; Zhang, Zhiyuan; Zhang, Xin; Zou, Duohong; Wu, Zhengyan",,,A biodegradable MnSiO3@Fe3O4 nanoplatform for dual-mode magnetic resonance imaging guided combinatorial cancer therapy,BIOMATERIALS,,,,,,,,,,,,"In this work, a tumor microenvironment (TME)-responsive biodegradable MnSiO3@Fe3O4 nanoplatform for dual-mode magnetic resonance imaging (MRI)-guided combinatorial cancer therapy was constructed. Fe3O4 nanoparticles decorated on the surface of MnSiO3 could effectively obstruct the pores of MnSiO3 and reduce the leakage of anticancer drugs under physiological conditions. The structure of the nanoplatform was broken under the weakly acidic and high-concentration glutathione conditions in the TME, resulting in the separation of the Fe3O4 nanoparticles from the nanoplatform and rapid drug release. In addition, the exfoliated Fe3O4 and released Mn2+ can help reduce the interference between their T-1 and T-2 contrast abilities, resulting in dual-mode MRI contrast enhancement. Furthermore, during the exfoliation process of the Fe3O4 nanocrystals, the catalytic activity of the Fe3O4 nanocrystals toward a Fenton-like reaction within cancer cells could be improved because of the increase in specific surface area, which led to the generation of highly toxic hydroxyl radicals and induced HeLa cell apoptosis. The nanoplatform also displayed excellent T-1-T-2 dual-mode MRI contrast enhancement and anticancer activity in vivo with reduced systemic toxicity. Thus, this multifunctional nanoplatform could be a potential nanotheranostic for dual-mode MRI-guided combinatorial cancer therapy.",,,,,,"Sun, Xiao/0000-0001-6506-1574",,,,,,,,,,,,,0142-9612,1878-5905,,,,FEB,2019,194,,,,,,151,160,,10.1016/j.biomaterials.2018.12.004,http://dx.doi.org/10.1016/j.biomaterials.2018.12.004,,,,,,,,30594744,,,,,WOS:000457504900014,View Full Record in Web of Science
J,"Wang, R; Deng, JJ; He, DS; Yang, ES; Yang, WQ; Shi, D; Jiang, YN; Qiu, ZJ; Webster, TJ; Shen, Y",,,,"Wang, Ru; Deng, Junjie; He, Dongsheng; Yang, Ershuang; Yang, Wenqian; Shi, Di; Jiang, Yanni; Qiu, Zijie; Webster, Thomas J.; Shen, Yan",,,PEGylated hollow gold nanoparticles for combined X-ray radiation and photothermal therapy in vitro and enhanced CT imaging in vivo,NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,,,,,,,,,,,,"Up until now, hollow gold nanoparticles (HGNPs) with a spherical cavity have garnered much interest as theranostic agents in cancer therapy due to their high X-ray absorption and photothermal conversion ability. Herein, we describe the design of PEGylated hollow gold nanoparticles (mPEG@HGNPs) for combined X-ray radiation and photothermal therapy in vitro and enhanced computed tomography (CT) imaging in vivo using a breast minor model. In vitro results revealed that mPEG@HGNPs could achieve a synergistic antitumor effect when irradiated by combined X-ray radiation and 808 rim near infrared laser light. Furthermore, mPEG@HGNPs exhibited a favorable tumor targeting effect and good CT contrast enhancement in both xenografted and orthotopic breast tumor models, due to the stealth effect of PEG which increased the enhanced permeability and retention (EPR) effect. These results suggest that mPEG@HGNPs may serve as multifunctional nanocomposites for cancer combination therapy and, thus, should be further studied. (C) 2018 Elsevier Inc. All rights reserved.",,,,,"Qiu, Zijie/AAJ-3197-2021; Shi, Di/AAQ-4486-2021","Qiu, Zijie/0000-0003-0728-1178; Shi, Di/0000-0002-4894-732X",,,,,,,,,,,,,1549-9634,1549-9642,,,,FEB,2019,16,,,,,,195,205,,10.1016/j.nano.2018.12.005,http://dx.doi.org/10.1016/j.nano.2018.12.005,,,,,,,,30597210,,,,,WOS:000460167000018,View Full Record in Web of Science
J,"Zhang, J; Luo, X; Wu, YP; Wu, F; Li, YF; He, RR; Liu, MX",,,,"Zhang, Jun; Luo, Xiang; Wu, Yan-Ping; Wu, Fan; Li, Yi-Fang; He, Rong-Rong; Liu, Mingxian",,,Rod in Tube: A Novel Nanoplatform for Highly Effective Chemo-Photothermal Combination Therapy toward Breast Cancer,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"Gold nanorods (GNRs) and doxorubicin (DOX) were loaded into the lumen of halloysite nanotubes (HNTs) via a rapid synthesis process (2 min) and physical adsorption. The targeting molecules of folic acid (FA) are then conjugated to HNTs via reactions with bovine serum albumin (BSA). The formation of GNRs in HNTs was verified by different techniques. Au-HNT-DOX@BSA-FA shows a maximum temperature of 26.8 degrees C rising after 8 min of 808 nm laser irradiation under 0.8 W cm(-2). The functionalized HNTs exhibited stronger chemotherapeutic effect under laser irradiation as the laser could promote the release of DOX and temperature rising. Au-HNT-DOX@BSA-FA-treated MCF-7 cells exhibited a survival rate of 7.4% after laser irradiation. Au-HNT-DOX@BSA-FA treatment does not induce obvious toxicity in blood biochemistry, liver, and kidney function in normal mice. In vivo chemo-photothermal treatment toward 4T1-bearing mice suggested that Au-HNT-DOX@BSA-FA exhibited remarkable tumor-targeted efficiency and good controlled release effect for DOX. Also, the nanoparticles exhibited a rapid photothermal performance and an ability to inhibit the growth of tumors. Because of the synergistic effect of chemical photothermal therapy, the toxicity of DOX to normal tissues was reduced on the premise of ensuring the same curative effect with a low dosage of 0.32 mg kg(-1). This novel chemo-photothermal therapy nanoplatform provided a safe, rapid, effective, and cheap choice for the treatment of breast tumors both in vitro and in vivo.",,,,,"Wu, Fan/AAC-9869-2021","Wu, Fan/0000-0001-7686-2887; Liu, Mingxian Liu/0000-0002-5466-3024; HE, Rong-Rong/0000-0001-5505-5672",,,,,,,,,,,,,1944-8244,,,,,30-Jan,2019,11,4,,,,,3690,3703,,10.1021/acsami.8b17533,http://dx.doi.org/10.1021/acsami.8b17533,,,,,,,,30618237,,,,,WOS:000457816900005,View Full Record in Web of Science
J,"Zhang, YL; Ni, QQ; Xu, CL; Wan, B; Geng, YY; Zheng, G; Yang, ZL; Tao, J; Zhao, Y; Wen, J; Zhang, JJ; Wang, SJ; Tang, YX; Li, YJ; Zhang, QR; Liu, L; Teng, ZG; Lu, GM",,,,"Zhang, Yunlei; Ni, Qianqian; Xu, Chaoli; Wan, Bing; Geng, Yuanyuan; Zheng, Gang; Yang, Zhenlu; Tao, Jun; Zhao, Ying; Wen, Jun; Zhang, Junjie; Wang, Shouju; Tang, Yuxia; Li, Yanjun; Zhang, Qirui; Liu, Li; Teng, Zhaogang; Lu, Guangming",,,Smart Bacterial Magnetic Nanoparticles for Tumor-Targeting Magnetic Resonance Imaging of HER2-Positive Breast Cancers,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"Supersensitive magnetic resonance (MR) imaging requires contrast with extremely high r(2) values. However, synthesized magnetic nanoparticles generally have a relatively low r(2) relaxivity. Magnetosomes with high saturation magnetization and good biocompatibility have shown potential values as MR imaging contrast agents. Magnetosomes that target human epidermal growth factor receptor-2 (HER2) were prepared using genetic technology and low-frequency sonication. Anti-HER2 affibody of the ability to target HER2 was displayed on the membrane surface of the magnetosomes through the anchor protein MamC, allowing the bacterial nanoparticles to target tumors overexpressing HER2. The prepared nanoparticles exhibited a very high relaxivity of 599.74 mM(-1) s(-1) and better dispersion, and their ability to target HER2 was demonstrated both in vitro and in vivo. Also, the HER2-targeting magnetosomes significantly enhanced the MR imaging of orthotopic breast cancer models with or without HER2 expression using a 7.0 T scanner. In particular, tumors overexpressing HER2 demonstrated better MR imaging than HER2-negative tumors after intravenous administration of HER2-targeting magnetosomes, and the MR signals of the augmented contrast could be detected from 3 to 24 h. The magnetosomes did not cause any notable pathogenic effect in the animals. Therefore, we expect that noninvasive imaging of tumors using HER2-targeting magnetosomes has potential for clinical applications in the near future.",,,,,"Wang, Shouju/AEG-1733-2022; Zhang, Yunlei/ABC-2875-2021","Zhang, Yunlei/0000-0001-9219-6562; Geng, Yuanyuan/0000-0001-7885-7352; Wang, Shouju/0000-0001-9213-6818; Zhao, Ying/0000-0002-6436-671X; Teng, Zhaogang/0000-0001-8792-764X",,,,,,,,,,,,,1944-8244,,,,,30-Jan,2019,11,4,,,,,3654,3665,,10.1021/acsami.8b15838,http://dx.doi.org/10.1021/acsami.8b15838,,,,,,,,30495920,,,,,WOS:000457816900003,View Full Record in Web of Science
J,"Yan, H; Shang, WT; Sun, XD; Zhao, LY; Wang, XM; Zhang, SX; Xu, N; Xu, WH; Tian, J; Kang, FY",,,,"Yan, Hao; Shang, Wenting; Sun, Xiaodan; Zhao, Lingyun; Wang, Xiumei; Zhang, Shuixing; Xu, Nan; Xu, Wanhai; Tian, Jie; Kang, Feiyu",,,Neoadjuvant nano-photothermal therapy used before operation effectively assists in surgery for breast cancer,NANOSCALE,,,,,,,,,,,,"Nano-photothermal therapy (NPTT) has attracted increasing interest recently due to its high efficiency, excellent selectivity and non-ionizing radiation damage. Despite a tremendous amount of exciting pre-clinical results reported in the past few years, however, the further clinic application of NPTT is still difficult. To combine NPTT with clinical surgery more closely, novel multifunctional optical-magnetic nanosystems have been synthesized and applied for preoperative NPTT to assist in the follow-up surgery, termed neoadjuvant NPTT. Remarkably, nanoparticles are mainly aggregated in the cytoplasm of tumor cells in vitro and largely accumulated in the tumor in vivo 24 h after injection. Under the guidance of tri-modality imaging, preoperative NPTT could shrink the tumor in a short time and make the boundary between the tumor and surrounding normal tissues clearer, which is conducive to subsequent surgery resection. Furthermore, the 50% survival rate is up to 50 days compared with 35 days for standard surgery, 31 days for PTT alone and 24 days for non-surgery groups. Therefore, NPTT can effectively assist in surgery used before operation. This study provides a new idea for the clinical transformation of NPTT in the future.",,,,,"Tian, Jie/H-1190-2011; Shang, Wenting/E-8475-2018","Tian, Jie/0000-0003-0498-0432; Shang, Wenting/0000-0002-3690-9270; Zhang, Shuixing/0000-0001-7377-382X; xu, wanhai/0000-0003-3442-7988; Kang, Feiyu/0000-0002-3704-4379; Hao, Yan/0000-0002-5268-7153",,,,,,,,,,,,,2040-3364,2040-3372,,,,14-Jan,2019,11,2,,,,,706,716,,10.1039/c8nr08109c,http://dx.doi.org/10.1039/c8nr08109c,,,,,,,,30565621,,,,,WOS:000455001600035,View Full Record in Web of Science
J,"Gong, NQ; Teng, XC; Li, JH; Liang, XJ",,,,"Gong, Ningqiang; Teng, Xucong; Li, Jinghong; Liang, Xing-Jie",,,Antisense Oligonucleotide-Conjugated Nanostructure-Targeting lncRNA MALAT1 Inhibits Cancer Metastasis,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"Metastasis-associated lung adenocarcinoma transcript 1 (MALAT1), a long noncoding RNA (lncRNA) located in the cell nucleus, is a critical regulator of tumor cell migration. Antisense oligonucleotides (ASOs), which can downregulate the expression level of specific RNAs, have been used in clinical for disease treatment. Herein, we constructed MALAT1-specific ASO and nucleus-targeting TAT peptide cofunctionalized Au nanoparticles, namely, ASO-Au-TAT NPs, which stabilized the fragile ASOs, enhanced nuclear internalization, and exhibited good biocompatibility. After treatment with the ASO-Au-TAT NPs, A549 lung cancer cells showed a greatly reduced MALAT1 expression level and decreased migration ability in vitro. Moreover, the ASO-Au-TAT NPs significantly reduced metastatic tumor nodule formation in vivo. Our results demonstrate that the ASO-Au-TAT nanostructures (NSs) have great potential for treatment of cancer metastasis.",,,,,"Liang, Xing-Jie/U-7657-2019; Teng, Xucong/S-4384-2019; Liang, Richard/ABF-2708-2021; LI, Jing/HNB-5575-2023; Li, Jinghong/D-4283-2012","Teng, Xucong/0000-0002-1514-0562; Gong, Ningqiang/0000-0002-9444-8505; Li, Jinghong/0000-0002-0750-7352; liang, xing-jie/0000-0002-4793-1705",,,,,,,,,,,,,1944-8244,1944-8252,,,,9-Jan,2019,11,1,,,,,37,42,,10.1021/acsami.8b18288,http://dx.doi.org/10.1021/acsami.8b18288,,,,,,,,30548064,,,,,WOS:000455561200007,View Full Record in Web of Science
J,"Im, S; Lee, J; Park, D; Park, A; Kim, YM; Kim, WJ",,,,"Im, Sooseok; Lee, Junseok; Park, Dongsik; Park, Areum; Kim, You-Me; Kim, Won Jong",,,Hypoxia-Triggered Transforming Immunomodulator for Cancer Immunotherapy via Photodynamically Enhanced Antigen Presentation of Dendritic Cell,ACS NANO,,,,,,,,,,,,"A key factor for successful cancer immunotherapy (CIT) is the extent of antigen presentation by dendritic cells (DCs) that phagocytize tumor-associated antigens (TAA) in the tumor site and migrate to tumor draining lymph nodes (TDLN) for the activation of T cells. Although various types of adjuvant delivery have been studied to enhance the activity of the DCs, poor delivery efficiency and depleted population of tumor infiltrating DCs have limited the efficacy of CIT. Herein, we report a hypoxia-responsive mesoporous silica nanocarrier (denoted as CAGE) for an enhanced CIT assisted by photodynamic therapy (PDT). In this study, CAGE was designed as a hypoxia-responsive transforming carrier to improve the intracellular uptake of nanocarriers and the delivery of adjuvants to DCs. Furthermore, PDT was exploited for the generation of immunogenic debris and recruitment of DCs in a tumor site, followed by enhanced antigen presentation. Finally, a significant inhibition of tumor growth was observed in vivo, signifying that the PDT would be a promising solution for DC-based immunotherapy.",,,,,"Kim, You-Me/I-5553-2013; Lee, Junseok/S-3406-2019; Im, Sooseok/GPX-4003-2022","Kim, You-Me/0000-0001-8780-704X; Lee, Junseok/0000-0002-3709-1386; ",,,,,,,,,,,,,1936-0851,1936-086X,,,,JAN,2019,13,1,,,,,476,488,,10.1021/acsnano.8b07045,http://dx.doi.org/10.1021/acsnano.8b07045,,,,,,,,30563320,,,,,WOS:000456749900047,View Full Record in Web of Science
J,"Li, X; Wu, ML; Wang, JH; Dou, Y; Gong, XQ; Liu, YJ; Guo, Q; Zhang, XN; Chang, J; Niu, YJ",,,,"Li, Xue; Wu, Menglin; Wang, Jiahui; Dou, Yan; Gong, Xiaoqun; Liu, Yajuan; Guo, Qi; Zhang, Xuening; Chang, Jin; Niu, Yuanjie",,,Ultrasmall bimodal nanomolecules enhanced tumor angiogenesis contrast with endothelial cell targeting and molecular pharmacokinetics,NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,,,,,,,,,,,,"Nonintrusive and precise imaging for tumor angiogenesis is critical in accurate assessment of cancer diagnosis and prognosis. However, reticulo-endothelial system (RES) capture and inadequate accumulation remain major bottlenecks for current nanoparticle to retain at tumor angiogenesis site. Herein, we report the ultrasmall contrast agent (cNGR-Au:Gd@GSH NMs) could accumulate at tumor vasculature site and enhance the tumor angiogenesis-contrast. It is demonstrated that by loading Au and Gd atom into the naturally-occurring glutathione (GSH) shell with cNGR peptide modification, cNGR-Au:Gd@GSH NMs exhibit the high X-ray photon absorption, longer rotational correlation time and efficient tumor vascular endothelia cell targeting. In vivo studies further indicate the cNGR-Au:Gd@GSH NMs prominently enhance tumor angiogenesis-contrast both on the computed tomography (CT) and magnetic resonance imaging (MRI) modalities by escaping the RES capture and target delivering. Our data imply that the cNGR-Au:Gd@GSH NMs may serve as the high-efficiency contrast agent to assess tumor angiogenesis in a nonintrusive technique. (C) 2018 Elsevier Inc. All rights reserved.",,,,,"Dou, Yan/GLV-0098-2022; wang, jiahui/IXD-1197-2023; Liu, Yajuan/HPH-1187-2023; Chang, Jin/B-1413-2016","Dou, Yan/0000-0002-6905-2787; ",,,,,,,,,,,,,1549-9634,1549-9642,,,,JAN,2019,15,1,,,,,252,263,,10.1016/j.nano.2018.10.004,http://dx.doi.org/10.1016/j.nano.2018.10.004,,,,,,,,30359756,,,,,WOS:000452546700023,View Full Record in Web of Science
J,"Wang, S; Liu, X; Chen, SZ; Liu, ZR; Zhang, XD; Liang, XJ; Li, LL",,,,"Wang, Shu; Liu, Xi; Chen, Shizhu; Liu, Zhirong; Zhang, Xiaodi; Liang, Xing-Jie; Li, Linlin",,,Regulation of Ca2+ Signaling for Drug-Resistant Breast Cancer Therapy with Mesoporous Silica Nanocapsule Encapsulated Doxorubicin/siRNA Cocktail,ACS NANO,,,,,,,,,,,,"Multidrug resistance (MDR) is the key cause that accounts for the failure of clinical cancer chemotherapy. To address the problem, herein, we presented an alternative strategy to conquer drug-resistant breast cancer through the combinatorial delivery of Ca2+ channel siRNA with cytotoxic drugs. Mesoporous silica nanocapsules (MSNCs) with mesoporous and hollow structure were fabricated for co-delivery of T-type Ca2+ channel siRNA and doxorubicin (DOX) with high drug loading efficiency. The DOX/siRNA co-loaded MSNCs showed a synergistic therapeutic effect on drug-resistant breast cancer cells MCF-7/ADR, while had only an additive effect on the drug-sensitive MCF-7 counterpart. It was found that the combination of T-type Ca2+ channel siRNA and DOX had a similar effect on MCF-7 and MCF-7/ADR in the knockdown of overexpressed T-type Ca2+ channels and decrease in cytosolic Ca2+ concentration ([Ca2+];), but it specifically induced Go/G, phase cell-cycle arrest and intracellular drug accumulation enhancement in MCF-7/ADR. The in vitro and in vivo results demonstrated that the MSNCs with good biocompatibility had a high efficiency for conquering the drug-resistant breast cancer with the DOX/calcium channel siRNA cocktail co-delivery. It provides a biological target for drug/gene delivery enhanced cancer therapy with nanoformulations.",,,,,"Liang, Xing-Jie/U-7657-2019; Li, Linlin/AAI-6331-2020; Liang, Richard/ABF-2708-2021; Wang, Shu/ABG-9269-2020","Li, Linlin/0000-0003-1041-4533; Wang, Shu/0000-0002-1751-1267; liang, xing-jie/0000-0002-4793-1705; Zhang, Xiaodi/0000-0001-5452-4027",,,,,,,,,,,,,1936-0851,1936-086X,,,,JAN,2019,13,1,,,,,274,283,,10.1021/acsnano.8b05639,http://dx.doi.org/10.1021/acsnano.8b05639,,,,,,,,30566319,,,,,WOS:000456749900027,View Full Record in Web of Science
J,"Yang, F; Skripka, A; Tabatabaei, MS; Hong, SH; Ren, FQ; Benayas, A; Oh, JK; Martel, S; Liu, XY; Vetrone, F; Ma, DL",,,,"Yang, Fan; Skripka, Artiom; Tabatabaei, Maryam Sadat; Hong, Sung Hwa; Ren, Fuqiang; Benayas, Antonio; Oh, Jung Kwon; Martel, Sylvain; Liu, Xinyu; Vetrone, Fiorenzo; Ma, Dongling",,,Multifunctional Self-Assembled Supernanoparticles for Deep-Tissue Bimodal Imaging and Amplified Dual-Mode Heating Treatment,ACS NANO,,,,,,,,,,,,"Developing multifunctional therapeutic and diagnostic (theranostic) nanoplatforms is critical for addressing challenging issues associated with cancers. Here, self-assembled supernanoparticles consisting of superparamagnetic Fe3O4 nanoparticles and photo luminescent PbS/CdS quantum dots whose emission lies within the second biological window (II-BW) are developed. The proposed self assembled Fe3O4 and PbS/CdS (II-BW) supernanoparticles [SASNs (II-BW)] exhibit outstanding photoluminescence detectable through a tissue as thick as 14 mm, by overcoming severe light extinction and concomitant autofluorescence in II-BW, and significantly enhanced T-2 relaxivity (282 mM(-1) s(-1), ca. 4 times higher than free Fe3O4 nanoparticles) due to largely enhanced magnetic field inhomogeneity. On the other hand, SASNs (II-BW) possess the dual capacity to act as both magnetothermal and photothermal agents, overcoming the main drawbacks of each type of heating separately. When SASNs (II-BW) are exposed to the dual-mode (magnetothermal and photothermal) heating, the thermal energy transfer efficiency is amplified 7-fold compared with magnetic heating alone. These results, in hand with the excellent photo- and colloidal stability, and negligible cytotoxicity, demonstrate the potential use of SASNs (II-BW) for deep-tissue bimodal (magnetic resonance and photoluminescence) in vivo imaging, while simultaneously providing the possibility of SASNs (II-BW)-mediated amplified dual-mode heating treatment for cancer therapy.",,,,,"Vetrone, Fiorenzo/Q-3478-2017; Hong, Sung Hwa/N-6557-2018; Benayas, Antonio/B-6349-2019; Yang, Fan/AAD-4705-2019; Oh, Jung Kwon/F-9291-2012; Liu, Xinyu/B-5529-2009","Vetrone, Fiorenzo/0000-0002-3222-3052; Hong, Sung Hwa/0000-0002-2140-5141; Yang, Fan/0000-0001-6306-4501; Liu, Xinyu/0000-0001-5705-9765; Skripka, Artiom/0000-0003-4060-4290; Ma, Dongling/0000-0001-8558-3150",,,,,,,,,,,,,1936-0851,1936-086X,,,,JAN,2019,13,1,,,,,408,420,,10.1021/acsnano.8b06563,http://dx.doi.org/10.1021/acsnano.8b06563,,,,,,,,30604607,,,,,WOS:000456749900040,View Full Record in Web of Science
