PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating_Number,Total_Coating_Steps_Group,Targeting_Type,Bioconjugation_nature,PEG_Coat,Therapeutic_Molecule_Type,Dose_Group,IC50,Delivery_Efficiency_Values,Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Immune status,Cancer_type,Breast cancer subtype,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Tumor_Vol_Reduction_Group(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Therapy_A,Therapy_B,Therapy_C,Combined_Therapy_Grouped,Study strategy,Imaging_A,Imaging_B,Imaging_C,Imaging_D
18817971,Biomaterials,2008,10.1016/j.biomaterials.2008.08.038,Inorganic,Gold,Local,Intratumoral,Not Reported,Not Reported,Sphere,Monolayer,Medium,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Ovary,Not Applicable,Single-dose,Not Reported,Not Reported,157.5,45.2,26,Liver,Spleen,Lung,None,None,None,None,Diagnosis,Fluorescence,None,None,None
19072129,Nano Lett,2009,10.1021/nl802915q,Inorganic,Gold,Systemic,IV,Not Reported,Not Reported,Rod,Multilayer,Medium,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal B,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Other,None,None,Monotherapy,Therapy,None,None,None,None
19089838,Small,2009,10.1002/smll.200800714,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Pancreas,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Liver,Spleen,Brain,None,None,None,None,Diagnosis,MRI,None,None,None
19131103,Biomaterials,2009,10.1016/j.biomaterials.2008.12.038,Inorganic,Gold,Systemic,IV,10~100 nm,Neutral,Sphere,Multilayer,High,Passive,None,PEGylated,None,Not Reported,No,6.63,Yes,1,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,457.2,228.2,68.9,Liver,Spleen,Kidney,None,None,None,None,Diagnosis,Other,None,None,None
19263431,Small,2009,10.1002/smll.200801789,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Other,Multilayer,High,Active,Covalent,PEGylated,None,Not Reported,No,5.53,Yes,3,Xenograft orthotopic,Immunocompromised,Breast,Triple-negative,Single-dose,Not Reported,Not Reported,283.5443038,205.244123,28.93309222,Spleen,Liver,Kidney,None,None,None,None,Diagnosis,Fluorescence,None,None,None
19508879,J Control Release,2009,10.1016/j.jconrel.2009.05.035,Inorganic,Iron oxide,Systemic,IV,Not Reported,Not Reported,Sphere,Monolayer,Low,Active,Covalent,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Other,None,None,None,Theragnosis,Fluorescence,None,None,None
19524625,J Control Release,2009,10.1016/j.jconrel.2009.06.002,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Neutral,Sphere,Multilayer,Low,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Pancreas,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
19619590,J Control Release,2009,10.1016/j.jconrel.2009.07.007,Inorganic,Gold,Systemic,IV,Not Reported,Not Reported,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,0~5 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Lung,Not Applicable,Single-dose,67.04093,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Radiotherapy,None,None,Monotherapy,Therapy,None,None,None,None
19773081,Biomaterials,2009,10.1016/j.biomaterials.2009.08.045,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,High,Active,Covalent,Non PEGylated,None,Not Reported,Yes,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Kidney,Liver,Lung,None,None,None,None,Diagnosis,MRI,Fluorescence,None,None
19782394,Biomaterials,2009,10.1016/j.biomaterials.2009.08.040,Inorganic,Iron oxide,Systemic,IV,>200 nm,Not Reported,Sphere,Multilayer,High,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
19783295,Biomaterials,2009,10.1016/j.biomaterials.2009.09.004,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Negative,Sphere,Monolayer,Medium,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,1,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,562.8571429,162.8571429,50.47619048,Liver,Kidney,Lung,None,None,None,None,Diagnosis,MRI,Fluorescence,None,None
19878991,Biomaterials,2010,10.1016/j.biomaterials.2009.09.091,Inorganic,Iron oxide,Local,Intratumoral,10~100 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,HER2-enriched,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Magnetic hyperthermia,None,None,Monotherapy,Therapy,None,None,None,None
19914401,Nanomedicine,2010,10.1016/j.nano.2009.11.001,Inorganic,Gold,Local,Intratumoral,10~100 nm,Negative,Sphere,Multilayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,19.9,Yes,Not Reported,Xenograft heterotopic,Immunocompromised,Prostate,Not Applicable,Single-dose,82.55814,Medium,4.6,0.7,0.5,Liver,Kidney,Intestine,Radiotherapy,None,None,Monotherapy,Therapy,None,None,None,None
19915570,Nat Nanotechnol,2009,10.1038/nnano.2009.333,Inorganic,Gold,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,High,Active,Electrostatic,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Photoacoustic,None,None,None
20017538,J Am Chem Soc,2010,10.1021/ja905793q,Inorganic,Hybrid,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,High,Passive,None,PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,Fluorescence,None,None
20092887,Biomaterials,2010,10.1016/j.biomaterials.2010.01.010,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,Non PEGylated,None,Not Reported,No,8.45,Yes,Not Reported,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Liver,Spleen,Kidney,None,None,None,None,Diagnosis,MRI,PET,Other,None
20180585,ACS Nano,2010,10.1021/nn901297q,Inorganic,Silica,Systemic,IV,10~100 nm,Neutral,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Pancreas,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Other,None,None,None
20183810,Small,2010,10.1002/smll.200901557,Inorganic,Hybrid,Systemic,IV,100~200 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Colon,Not Applicable,Single-dose,Not Reported,Not Reported,1838.292683,151.3865935,13.40348541,Spleen,Liver,Muscle,Photothermal therapy,None,None,Monotherapy,Therapy,None,None,None,None
20232826,ACS Nano,2010,10.1021/nn100190v,Inorganic,Iron oxide,Systemic,IV,Not Reported,Not Reported,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,5~10 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Liver,Kidney,Spleen,None,None,None,None,Diagnosis,MRI,Fluorescence,None,None
20434209,Biomaterials,2010,10.1016/j.biomaterials.2010.03.072,Inorganic,Iron oxide,Systemic,IV,Not Reported,Not Reported,Sphere,Multilayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
20580427,Biomaterials,2010,10.1016/j.biomaterials.2010.06.008,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Neutral,Sphere,No coating,None,Passive,None,Non PEGylated,Antimetabolite,>50 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Breast,Luminal A,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
20599526,Nanomedicine,2010,10.1016/j.nano.2010.06.005,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Pancreas,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Spleen,Kidney,Bladder,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,Fluorescence,None,None
20623530,Small,2010,10.1002/smll.201000538,Inorganic,Silica,Systemic,Other,100~200 nm,Not Reported,Sphere,Monolayer,Low,Active,Covalent,Non PEGylated,Topoisomerase inhibitor,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,Multiple-dose,99.88636364,Very High,Not Reported,Not Reported,Not Reported,Lung,Intestine,Spleen,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
20630586,Biomaterials,2010,10.1016/j.biomaterials.2010.06.031,Inorganic,Gold,Systemic,Other,Not Reported,Not Reported,Sphere,Multilayer,Low,Active,Covalent,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Prostate,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Other,None,None,Monotherapy,Theragnosis,Fluorescence,None,None,None
20681684,J Am Chem Soc,2010,10.1021/ja103415t,Inorganic,Silica,Not Reported,Not Reported,100~200 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,Alkylating agent,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Cervix,Not Applicable,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
20731439,ACS Nano,2010,10.1021/nn100736c,Inorganic,Gold,Systemic,IV,Not Reported,Not Reported,Other,Multilayer,Low,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Photoacoustic,None,None,None
20738120,ACS Nano,2010,10.1021/nn101016f,Inorganic,Iron oxide,Local,Intratumoral,10~100 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Prostate,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Luminescence,None,None,None
20815402,ACS Nano,2010,10.1021/nn1015117,Inorganic,Silica,Local,Other,Not Reported,Not Reported,Other,Multilayer,Medium,Passive,None,Non PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Not Reported,Not Reported,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
20835443,Nanoscale,2010,10.1039/c0nr00359j,Inorganic,Gold,Systemic,IV,0~10 nm,Not Reported,Other,No coating,None,Passive,None,Non PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Triple-negative,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Fluorescence,None,None,None
20878636,Small,2010,10.1002/smll.201000903,Inorganic,Hybrid,Systemic,IV,>200 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,Anthracycline,Not Reported,No,0.58,Yes,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,Single-dose,Not Reported,Not Reported,4839.7,2319,301.7,Liver,Spleen,Kidney,Gene therapy,Chemotherapy,None,Combination therapy,Therapy,None,None,None,None
20886481,Angew Chem Int Ed Engl,2010,10.1002/anie.201003142,Inorganic,Silica,Systemic,IV,100~200 nm,Neutral,Sphere,Multilayer,Medium,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Fluorescence,None,None,None
20939602,Nano Lett,2010,10.1021/nl102623x,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Low,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,1,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
20970851,Biomaterials,2011,10.1016/j.biomaterials.2010.09.024,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Negative,Sphere,Monolayer,Low,Active,Covalent,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
20973487,ACS Nano,2010,10.1021/nn100918a,Inorganic,Silica,Systemic,IV,100~200 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,PEGylated,Taxane,10~50 mg/kg,Yes,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Liver,Not Applicable,Multiple-dose,71.0467706,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
20980696,Nat Commun,2015,10.1126/scitranslmed.3001447,Inorganic,Hybrid,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,None,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Other,None,None,None
21043459,ACS Nano,2010,10.1021/nn101643u,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Positive,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,>50 mg/kg,No,Not Reported,No,Not Reported,Xenograft orthotopic,Immunocompromised,Liver,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
21147502,Biomaterials,2011,10.1016/j.biomaterials.2010.11.053,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Ovary,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Other,None,None,None,Theragnosis,Fluorescence,None,None,None
21176955,Biomaterials,2011,10.1016/j.biomaterials.2010.11.040,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Positive,Sphere,Multilayer,High,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
21257200,Biomaterials,2011,10.1016/j.biomaterials.2010.12.055,Inorganic,Iron oxide,Systemic,IV,>200 nm,Negative,Sphere,No coating,None,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,Single-dose,Not Reported,Not Reported,1211.465893,963.8606676,737.3004354,Spleen,Liver,Kidney,None,None,None,None,Diagnosis,MRI,Fluorescence,None,None
21272668,Nanomedicine,2011,10.1016/j.nano.2011.01.002,Inorganic,Gold,Local,Intratumoral,10~100 nm,Not Reported,Other,Monolayer,Low,Passive,None,Non PEGylated,None,5~10 mg/kg,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Other,Not Applicable,Single-dose,59.08304,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Other,None,None,Monotherapy,Therapy,None,None,None,None
21277019,Biomaterials,2011,10.1016/j.biomaterials.2011.01.001,Inorganic,Gold,Local,Intratumoral,0~10 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Lung,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,CT,None,None,None
21277630,Biomaterials,2011,10.1016/j.biomaterials.2011.01.008,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Negative,Sphere,Multilayer,Low,Passive,None,Non PEGylated,Anti-tumorigenic cytokine,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Pancreas,Not Applicable,Single-dose,96.63351186,High,Not Reported,Not Reported,Not Reported,Lung,Liver,Spleen,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
21333751,Nanomedicine,2011,10.1016/j.nano.2011.01.013,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,Non PEGylated,Anthracycline,Not Reported,Yes,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Other,Not Applicable,Multiple-dose,72.99258408,Low,186.6666667,120,60,Liver,Intestine,Skin,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
21344891,ACS Nano,2011,10.1021/nn103047r,Inorganic,Gold,Systemic,IV,Not Reported,Positive,Other,Multilayer,Low,Passive,None,PEGylated,None,0~5 mg/kg,No,118.1,Yes,Not Reported,Allograft heterotopic,Immunocompromised,Other,Not Applicable,Single-dose,89.12391,High,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photothermal therapy,None,None,Monotherapy,Theragnosis,Fluorescence,None,None,None
21458063,Biomaterials,2011,10.1016/j.biomaterials.2011.03.018,Inorganic,Hybrid,Systemic,IV,Not Reported,Positive,Sphere,Multilayer,Medium,Active,Covalent,PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Multiple-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
21486679,Biomaterials,2011,10.1016/j.biomaterials.2011.03.050,Inorganic,Silica,Systemic,Other,>200 nm,Positive,Sphere,Multilayer,High,Active,Covalent,PEGylated,Tumor necrosis factor,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,Multiple-dose,55,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Therapy,None,None,None,None
21550654,Biomaterials,2011,10.1016/j.biomaterials.2011.04.037,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Not Reported,Sphere,No coating,None,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Breast,Luminal A,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
21645920,Biomaterials,2011,10.1016/j.biomaterials.2011.05.047,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,PEGylated,Alkylating agent,10~50 mg/kg,Yes,Not Reported,No,4,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Single-dose,74.02867558,Low,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
